date,value
2011-08-08,1
2011-08-09,1
2011-08-10,2
2011-08-11,3
2011-08-12,6
2011-08-13,7
2011-08-14,9
2011-08-15,10
2011-08-16,11
2011-08-17,8
2011-08-18,4
2011-08-19,4
2011-08-20,4
2011-08-21,4
2011-08-22,6
2011-08-23,10
2011-08-24,11
2011-08-25,13
2011-08-26,14
2011-08-27,17
2011-08-28,19
2011-08-29,20
2011-08-30,22
2011-08-31,24
2011-09-01,25
2011-09-02,26
2011-09-03,24
2011-09-04,24
2011-09-05,26
2011-09-06,28
2011-09-07,29
2011-09-08,27
2011-09-09,25
2011-09-10,24
2011-09-11,24
2011-09-12,22
2011-09-13,25
2011-09-14,31
2011-09-15,39
2011-09-16,41
2011-09-17,41
2011-09-18,41
2011-09-19,41
2011-09-20,39
2011-09-21,32
2011-09-22,26
2011-09-23,25
2011-09-24,25
2011-09-25,25
2011-09-26,25
2011-09-27,27
2011-09-28,24
2011-09-29,25
2011-09-30,23
2011-10-01,20
2011-10-02,14
2011-10-03,16
2011-10-04,18
2011-10-05,21
2011-10-06,25
2011-10-07,29
2011-10-08,31
2011-10-09,33
2011-10-10,35
2011-10-11,37
2011-10-12,36
2011-10-13,35
2011-10-14,39
2011-10-15,38
2011-10-16,37
2011-10-17,37
2011-10-18,40
2011-10-19,42
2011-10-20,44
2011-10-21,48
2011-10-22,52
2011-10-23,56
2011-10-24,54
2011-10-25,53
2011-10-26,57
2011-10-27,65
2011-10-28,63
2011-10-29,62
2011-10-30,64
2011-10-31,61
2011-11-01,57
2011-11-02,54
2011-11-03,54
2011-11-04,54
2011-11-05,56
2011-11-06,58
2011-11-07,62
2011-11-08,64
2011-11-09,52
2011-11-10,60
2011-11-11,57
2011-11-12,55
2011-11-13,53
2011-11-14,52
2011-11-15,51
2011-11-16,50
2011-11-17,47
2011-11-18,45
2011-11-19,42
2011-11-20,40
2011-11-21,38
2011-11-22,36
2011-11-23,34
2011-11-24,33
2011-11-25,34
2011-11-26,36
2011-11-27,38
2011-11-28,45
2011-11-29,54
2011-11-30,64
2011-12-01,67
2011-12-02,67
2011-12-03,67
2011-12-04,67
2011-12-05,68
2011-12-06,69
2011-12-07,70
2011-12-08,61
2011-12-09,66
2011-12-10,69
2011-12-11,68
2011-12-12,65
2011-12-13,56
2011-12-14,59
2011-12-15,61
2011-12-16,64
2011-12-17,63
2011-12-18,62
2011-12-19,65
2011-12-20,68
2011-12-21,76
2011-12-22,80
2011-12-23,82
2011-12-24,82
2011-12-25,82
2011-12-26,82
2011-12-27,80
2011-12-28,78
2011-12-29,77
2011-12-30,75
2011-12-31,75
2012-01-01,77
2012-01-02,78
2012-01-03,79
2012-01-04,78
2012-01-05,78
2012-01-06,78
2012-01-07,79
2012-01-08,79
2012-01-09,80
2012-01-10,81
2012-01-11,82
2012-01-12,83
2012-01-13,84
2012-01-14,84
2012-01-15,84
2012-01-16,84
2012-01-17,86
2012-01-18,88
2012-01-19,91
2012-01-20,90
2012-01-21,89
2012-01-22,89
2012-01-23,90
2012-01-24,88
2012-01-25,83
2012-01-26,84
2012-01-27,81
2012-01-28,78
2012-01-29,79
2012-01-30,78
2012-01-31,82
2012-02-01,82
2012-02-02,84
2012-02-03,86
2012-02-04,88
2012-02-05,88
2012-02-06,88
2012-02-07,88
2012-02-08,88
2012-02-09,83
2012-02-10,84
2012-02-11,83
2012-02-12,82
2012-02-13,84
2012-02-14,82
2012-02-15,80
2012-02-16,80
2012-02-17,81
2012-02-18,82
2012-02-19,81
2012-02-20,80
2012-02-21,80
2012-02-22,78
2012-02-23,78
2012-02-24,78
2012-02-25,78
2012-02-26,78
2012-02-27,78
2012-02-28,78
2012-02-29,78
2012-03-01,77
2012-03-02,75
2012-03-03,72
2012-03-04,68
2012-03-05,65
2012-03-06,62
2012-03-07,62
2012-03-08,62
2012-03-09,63
2012-03-10,65
2012-03-11,67
2012-03-12,68
2012-03-13,74
2012-03-14,79
2012-03-15,80
2012-03-16,83
2012-03-17,82
2012-03-18,81
2012-03-19,81
2012-03-20,78
2012-03-21,74
2012-03-22,67
2012-03-23,70
2012-03-24,72
2012-03-25,74
2012-03-26,75
2012-03-27,76
2012-03-28,72
2012-03-29,66
2012-03-30,62
2012-03-31,62
2012-04-01,62
2012-04-02,63
2012-04-03,66
2012-04-04,65
2012-04-05,64
2012-04-06,63
2012-04-07,59
2012-04-08,57
2012-04-09,54
2012-04-10,45
2012-04-11,43
2012-04-12,41
2012-04-13,40
2012-04-14,37
2012-04-15,36
2012-04-16,35
2012-04-17,36
2012-04-18,37
2012-04-19,36
2012-04-20,35
2012-04-21,34
2012-04-22,34
2012-04-23,34
2012-04-24,36
2012-04-25,38
2012-04-26,40
2012-04-27,41
2012-04-28,41
2012-04-29,42
2012-04-30,42
2012-05-01,43
2012-05-02,44
2012-05-03,45
2012-05-04,42
2012-05-05,39
2012-05-06,38
2012-05-07,37
2012-05-08,37
2012-05-09,35
2012-05-10,32
2012-05-11,31
2012-05-12,30
2012-05-13,29
2012-05-14,27
2012-05-15,23
2012-05-16,19
2012-05-17,14
2012-05-18,12
2012-05-19,13
2012-05-20,14
2012-05-21,16
2012-05-22,15
2012-05-23,15
2012-05-24,14
2012-05-25,14
2012-05-26,14
2012-05-27,15
2012-05-28,15
2012-05-29,16
2012-05-30,13
2012-05-31,11
2012-06-01,9
2012-06-02,8
2012-06-03,8
2012-06-04,8
2012-06-05,10
2012-06-06,13
2012-06-07,16
2012-06-08,17
2012-06-09,18
2012-06-10,18
2012-06-11,18
2012-06-12,21
2012-06-13,23
2012-06-14,25
2012-06-15,27
2012-06-16,31
2012-06-17,32
2012-06-18,33
2012-06-19,35
2012-06-20,38
2012-06-21,38
2012-06-22,31
2012-06-23,30
2012-06-24,29
2012-06-25,29
2012-06-26,32
2012-06-27,33
2012-06-28,36
2012-06-29,47
2012-06-30,50
2012-07-01,54
2012-07-02,55
2012-07-03,56
2012-07-04,56
2012-07-05,56
2012-07-06,54
2012-07-07,52
2012-07-08,52
2012-07-09,51
2012-07-10,50
2012-07-11,48
2012-07-12,43
2012-07-13,43
2012-07-14,44
2012-07-15,44
2012-07-16,45
2012-07-17,48
2012-07-18,50
2012-07-19,54
2012-07-20,52
2012-07-21,50
2012-07-22,49
2012-07-23,48
2012-07-24,45
2012-07-25,43
2012-07-26,48
2012-07-27,53
2012-07-28,61
2012-07-29,59
2012-07-30,56
2012-07-31,54
2012-08-01,53
2012-08-02,53
2012-08-03,60
2012-08-04,61
2012-08-05,63
2012-08-06,65
2012-08-07,68
2012-08-08,71
2012-08-09,73
2012-08-10,75
2012-08-11,73
2012-08-12,73
2012-08-13,74
2012-08-14,73
2012-08-15,73
2012-08-16,76
2012-08-17,78
2012-08-18,79
2012-08-19,78
2012-08-20,78
2012-08-21,78
2012-08-22,78
2012-08-23,74
2012-08-24,69
2012-08-25,70
2012-08-26,68
2012-08-27,69
2012-08-28,67
2012-08-29,68
2012-08-30,65
2012-08-31,61
2012-09-01,60
2012-09-02,60
2012-09-03,60
2012-09-04,60
2012-09-05,64
2012-09-06,73
2012-09-07,80
2012-09-08,79
2012-09-09,78
2012-09-10,78
2012-09-11,81
2012-09-12,84
2012-09-13,87
2012-09-14,91
2012-09-15,92
2012-09-16,92
2012-09-17,92
2012-09-18,92
2012-09-19,93
2012-09-20,93
2012-09-21,93
2012-09-22,93
2012-09-23,91
2012-09-24,91
2012-09-25,84
2012-09-26,76
2012-09-27,71
2012-09-28,72
2012-09-29,74
2012-09-30,72
2012-10-01,73
2012-10-02,75
2012-10-03,77
2012-10-04,77
2012-10-05,78
2012-10-06,77
2012-10-07,76
2012-10-08,75
2012-10-09,71
2012-10-10,65
2012-10-11,59
2012-10-12,54
2012-10-13,54
2012-10-14,54
2012-10-15,55
2012-10-16,60
2012-10-17,62
2012-10-18,65
2012-10-19,60
2012-10-20,56
2012-10-21,54
2012-10-22,52
2012-10-23,51
2012-10-24,43
2012-10-25,41
2012-10-26,40
2012-10-27,40
2012-10-28,40
2012-10-29,40
2012-10-30,40
2012-10-31,40
2012-11-01,43
2012-11-02,48
2012-11-03,48
2012-11-04,48
2012-11-05,48
2012-11-06,51
2012-11-07,42
2012-11-08,44
2012-11-09,40
2012-11-10,40
2012-11-11,40
2012-11-12,41
2012-11-13,39
2012-11-14,35
2012-11-15,30
2012-11-16,28
2012-11-17,30
2012-11-18,32
2012-11-19,34
2012-11-20,37
2012-11-21,39
2012-11-22,42
2012-11-23,45
2012-11-24,47
2012-11-25,47
2012-11-26,47
2012-11-27,47
2012-11-28,47
2012-11-29,50
2012-11-30,46
2012-12-01,46
2012-12-02,46
